,date,weather,type,AM peak_hour,AM north_bikes_vol,AM north_peds_vol,AM north_veh_vol,PM peak_hour,PM north_bikes_vol,PM north_peds_vol,PM north_veh_vol,INTERSECTION,Sub_URL
592,2001-07-09,CLEAR,Signalized,07:40 - 08:40,1,11,769,16:00 - 17:00,3,46,967,RUPERT ST AND E 22ND AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0300700.htm
593,1999-06-01,CLEAR,Signalized,07:55 - 08:55,0,160,900,16:10 - 17:10,2,67,1020,RUPERT ST AND E 22ND AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0300700.htm
594,1997-05-21,CLOUDY,Signalized,07:55 - 08:55,2,168,790,16:25 - 17:25,1,46,1040,RUPERT ST AND E 22ND AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0300700.htm
595,1995-05-15,CLOUDY,Signalized,07:40 - 08:40,1,80,713,16:25 - 17:25,4,51,1071,RUPERT ST AND E 22ND AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0300700.htm
596,2008-06-05,RAIN,Signalized,07:45 - 08:45,3,87,668,16:55 - 17:55,0,19,828,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0300790.htm
597,2003-05-27,CLEAR,Signalized,07:55 - 08:55,5,175,820,16:25 - 17:25,1,50,927,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0300790.htm
598,2001-07-13,CLEAR,Signalized,07:45 - 08:45,5,6,700,16:25 - 17:25,2,6,867,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0300790.htm
599,1999-06-29,Rain,Signalized,07:55 - 08:55,0,29,775,15:30 - 16:30,0,7,787,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0300790.htm
600,1997-07-11,CLOUDY,Signalized,07:55 - 08:55,4,15,607,16:20 - 17:20,0,15,924,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0300790.htm
601,1995-05-17,RAIN,Signalized,07:35 - 08:35,1,114,651,16:10 - 17:10,6,39,907,KERR ST AND E 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0300790.htm
602,2006-03-09,RAIN,Non-Signalized,08:20 - 09:20,0,0,537,16:50 - 17:50,2,1,639,KERR ST AND E 55TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0300811.htm
603,2004-07-13,CLEAR,Signalized,07:55 - 08:55,0,5,0,16:15 - 17:15,0,1,0,TRANS CANADA HIGHWAY AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0303660.htm
604,2004-07-13,CLEAR,Signalized,07:55 - 08:55,0,5,0,16:15 - 17:15,0,1,0,TRANS CANADA HIGHWAY AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0303660.htm
605,2008-07-30,RAIN,Signalized,07:50 - 08:50,7,7,182,16:50 - 17:50,0,9,35,SKEENA ST AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0305580.htm
606,2002-11-20,CLOUDY,Signalized,07:35 - 08:35,0,2,166,16:25 - 17:25,0,11,120,SKEENA ST AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0305580.htm
607,2000-04-26,cloudy,Signalized,07:55 - 08:55,2,16,250,,,,,SKEENA ST AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0305580.htm
608,2003-06-13,CLOUDY,Signalized,07:50 - 08:50,0,8,128,16:25 - 17:25,0,11,341,SKEENA ST AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0305670.htm
609,2008-07-24,CLEAR,Signalized,07:55 - 08:55,0,14,683,16:55 - 17:55,0,225,773,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0306770.htm
610,2005-05-31,RAIN,Signalized,07:45 - 08:45,0,62,711,16:25 - 17:25,1,111,739,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0306770.htm
611,2002-07-12,CLEAR,Signalized,07:45 - 08:45,2,51,650,16:25 - 17:25,5,152,782,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0306770.htm
612,2000-04-19,cloudy,Signalized,07:45 - 08:45,4,113,721,16:25 - 17:25,0,122,793,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0306770.htm
613,1998-08-24,CLOUDY,Signalized,07:35 - 08:35,1,24,791,16:25 - 17:25,1,134,914,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0306770.htm
614,1996-07-17,RAIN,Signalized,07:35 - 08:35,0,31,643,16:25 - 17:25,3,123,766,JOYCE ST AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0306770.htm
615,2009-09-22,CLEAR,Signalized,07:50 - 08:50,2,4,164,16:00 - 17:00,1,8,456,TYNE ST AND E 54TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2009/0313810.htm
616,2005-12-15,CLEAR,Signalized,07:50 - 08:50,0,20,291,15:50 - 16:50,0,7,359,TYNE ST AND E 54TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0313810.htm
617,2009-11-19,RAIN,Signalized,07:50 - 08:50,0,14,340,16:55 - 17:55,0,19,295,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2009/0320590.htm
618,2003-06-18,CLEAR,Signalized,07:45 - 08:45,5,27,473,16:25 - 17:25,1,33,241,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0320590.htm
619,2001-08-15,clear,Signalized,07:20 - 08:20,2,20,356,16:25 - 17:25,0,19,267,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0320590.htm
620,1999-08-27,SUNNY,Signalized,07:35 - 08:35,1,33,345,16:20 - 17:20,3,25,279,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0320590.htm
621,1997-05-28,CLEAR,Signalized,07:30 - 08:30,1,43,492,16:20 - 17:20,0,28,295,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0320590.htm
622,1995-07-12,CLEAR,Signalized,07:20 - 08:20,5,101,461,16:25 - 17:25,0,65,240,BOUNDARY ROAD AND E HASTINGS ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0320590.htm
623,2003-06-19,CLEAR,Signalized,07:45 - 08:45,6,0,1230,16:25 - 17:25,0,0,849,BOUNDARY ROAD AND ADANAC ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0320598.htm
624,1997-05-26,CLOUDY,Signalized,07:40 - 08:40,4,0,1366,16:20 - 17:20,3,0,746,BOUNDARY ROAD AND ADANAC ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0320598.htm
625,1995-06-05,RAIN,Signalized,07:30 - 08:30,2,1,1137,16:15 - 17:15,4,1,779,BOUNDARY ROAD AND ADANAC ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0320598.htm
626,2009-12-09,CLEAR,Signalized,07:55 - 08:55,4,37,1196,16:15 - 17:15,5,1,1177,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2009/0320630.htm
627,2003-06-10,CLOUDY,Signalized,07:55 - 08:55,8,3,1311,15:30 - 16:30,2,3,1154,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0320630.htm
628,2001-08-10,CLEAR,Signalized,07:50 - 08:50,18,1,1147,16:10 - 17:10,7,5,1305,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0320630.htm
629,1999-08-30,OVERCAST,Signalized,07:40 - 08:40,6,2,1189,16:20 - 17:20,2,2,1048,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0320630.htm
630,1997-05-27,CLOUDY,Signalized,07:35 - 08:35,9,7,1489,16:05 - 17:05,4,1,1091,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0320630.htm
631,1995-07-05,CLOUDY,Signalized,07:35 - 08:35,4,2,1204,16:20 - 17:20,6,4,1101,BOUNDARY ROAD AND E 1ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0320630.htm
632,2005-08-11,CLEAR,Signalized,07:50 - 08:50,5,17,1052,16:25 - 17:25,6,4,1434,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0320650.htm
633,2003-10-22,CLOUDY,Signalized,07:55 - 08:55,1,21,1370,16:25 - 17:25,0,8,1464,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0320650.htm
634,2001-06-12,cloudy,Signalized,07:35 - 08:35,0,4,1433,16:20 - 17:20,0,7,1288,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0320650.htm
635,2000-08-09,clear,Signalized,07:55 - 08:55,8,44,1268,,,,,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0320650.htm
636,1998-08-04,CLEAR,Signalized,07:45 - 08:45,9,45,1238,16:25 - 17:25,7,50,1211,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0320650.htm
637,1996-08-08,CLEAR,Signalized,07:40 - 08:40,4,122,1035,16:25 - 17:25,5,57,1051,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0320650.htm
638,1992-10-22,CLEAR,Non-Signalized,16:25 - 17:25,0,0,,,,,,BOUNDARY ROAD AND LOUGHEED HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1992/0320650.htm
639,2006-11-14,RAIN,Non-Signalized,10:00 - 11:00,0,0,36,16:00 - 17:00,0,0,193,BOUNDARY ROAD AND E 11TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0320665.htm
640,2009-04-28,CLEAR,Signalized,07:55 - 08:55,0,11,1343,16:20 - 17:20,1,9,1539,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2009/0320670.htm
641,2008-08-14,CLEAR,Signalized,07:50 - 08:50,0,3,1348,16:35 - 17:35,2,4,1559,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0320670.htm
642,2007-06-08,RAIN,Signalized,07:40 - 08:40,0,0,54,11:05 - 12:05,0,0,55,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0320670.htm
643,2004-06-21,CLEAR,Signalized,10:25 - 11:25,0,3,1110,12:30 - 13:30,1,5,1189,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0320670.htm
644,2002-08-01,CLOUDY,Signalized,07:55 - 08:55,2,4,1260,16:10 - 17:10,1,6,1454,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0320670.htm
645,2000-05-16,clear,Signalized,07:40 - 08:40,2,7,1384,16:05 - 17:05,2,6,1508,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0320670.htm
646,1997-07-15,CLOUDY,Signalized,07:35 - 08:35,1,3,1269,16:25 - 17:25,1,6,1506,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0320670.htm
647,1995-07-12,CLEAR,Signalized,07:30 - 08:30,0,2,1282,16:25 - 17:25,2,9,1404,BOUNDARY ROAD AND GRANDVIEW HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0320670.htm
648,1998-08-13,CLEAR,Signalized,07:40 - 08:40,0,0,1446,16:25 - 17:25,1,16,1952,BOUNDARY ROAD AND E 18TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0320687.htm
649,2004-08-31,CLEAR,Signalized,07:45 - 08:45,0,0,1584,16:25 - 17:25,4,8,1913,BOUNDARY ROAD AND E 29TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0320710.htm
650,2002-07-05,CLEAR,Signalized,07:50 - 08:50,2,1,1464,16:25 - 17:25,4,0,1795,BOUNDARY ROAD AND E 29TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0320710.htm
651,1998-08-18,CLOUDY,Signalized,07:30 - 08:30,1,0,1421,16:25 - 17:25,3,5,1933,BOUNDARY ROAD AND E 29TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0320710.htm
652,1996-06-14,CLEAR,Signalized,07:55 - 08:55,2,0,1365,16:20 - 17:20,6,0,1731,BOUNDARY ROAD AND E 29TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0320710.htm
653,1999-06-29,OVERCAST,Non-Signalized,07:10 - 08:10,1,0,1489,16:25 - 17:25,1,0,1572,BOUNDARY ROAD AND WELLINGTON AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0320715.htm
654,1995-07-18,CLEAR,Non-Signalized,07:25 - 08:25,3,0,1246,16:20 - 17:20,5,1,1396,BOUNDARY ROAD AND WELLINGTON AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0320715.htm
655,2008-06-25,CLEAR,Signalized,07:55 - 08:55,12,124,1013,16:55 - 17:55,2,199,2113,BOUNDARY ROAD AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0320770.htm
656,2004-06-21,CLEAR,Signalized,10:25 - 11:25,0,47,1044,12:35 - 13:35,1,148,1201,BOUNDARY ROAD AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0320770.htm
657,2002-07-30,CLOUDY,Signalized,07:55 - 08:55,2,82,1183,16:15 - 17:15,1,92,1386,BOUNDARY ROAD AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0320770.htm
658,2000-07-04,RAin,Signalized,07:50 - 08:50,0,29,1053,16:05 - 17:05,0,58,1535,BOUNDARY ROAD AND KINGSWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0320770.htm
659,2008-06-26,CLEAR,Signalized,07:55 - 08:55,1,0,2068,16:40 - 17:40,0,3,1084,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0320830.htm
660,2005-08-11,CLEAR,Signalized,07:45 - 08:45,2,1,1235,16:15 - 17:15,0,0,1094,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0320830.htm
661,2003-10-01,CLEAR,Signalized,07:35 - 08:35,0,0,1253,15:40 - 16:40,0,0,1331,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0320830.htm
662,2002-08-12,CLEAR,Signalized,07:35 - 08:35,2,1,1206,16:25 - 17:25,0,1,960,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0320830.htm
663,2000-07-18,cloudy,Signalized,07:35 - 08:35,1,1,1116,16:25 - 17:25,0,3,1097,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0320830.htm
664,1998-06-29,CLEAR,Signalized,07:30 - 08:30,2,1,1198,15:30 - 16:30,0,1,1246,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0320830.htm
665,1996-07-10,CLEAR,Signalized,07:30 - 08:30,1,0,1044,15:35 - 16:35,0,0,1008,BOUNDARY ROAD AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0320830.htm
666,1997-06-09,CLEAR,Signalized,07:25 - 08:25,0,4,,16:25 - 17:25,0,3,,E 1ST AV AND TRANS CANADA HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0630312.htm
667,1995-08-04,CLEAR,Signalized,07:35 - 08:35,0,0,,16:25 - 17:25,0,0,,E 1ST AV AND TRANS CANADA HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0630312.htm
668,1997-06-09,CLEAR,Signalized,07:25 - 08:25,0,4,,16:25 - 17:25,0,3,,E 1ST AV AND TRANS CANADA HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0630312.htm
669,1995-08-04,CLEAR,Signalized,07:35 - 08:35,0,0,,16:25 - 17:25,0,0,,E 1ST AV AND TRANS CANADA HIGHWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0630312.htm
670,1999-08-23,SUNNY,Non-Signalized,07:35 - 08:35,0,4,4,16:25 - 17:25,0,3,14,MARPOLE AV AND FIR ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0695124.htm
671,2010-05-05,CLEAR,Signalized,07:55 - 08:55,2,142,598,16:15 - 17:15,11,383,1505,KINGSWAY AND E BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2010/0770192.htm
672,2009-05-28,CLEAR,Signalized,07:55 - 08:55,2,141,647,16:25 - 17:25,8,258,1477,KINGSWAY AND E BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2009/0770192.htm
673,2004-06-16,CLEAR,Signalized,10:25 - 11:25,6,142,621,13:15 - 14:15,6,171,853,KINGSWAY AND E BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0770192.htm
674,1998-08-12,CLEAR,Signalized,07:50 - 08:50,3,72,554,16:25 - 17:25,10,118,1643,KINGSWAY AND E BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0770192.htm
675,1996-07-09,CLOUDY,Signalized,07:45 - 08:45,0,44,618,16:15 - 17:15,15,116,1825,KINGSWAY AND E BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0770192.htm
676,1997-07-23,CLEAR,Signalized,07:30 - 08:30,5,21,623,16:10 - 17:10,15,79,1814,KINGSWAY AND E 12TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0770196.htm
677,1995-07-04,CLOUDY,Signalized,07:35 - 08:35,5,29,584,16:25 - 17:25,17,74,1843,KINGSWAY AND E 12TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0770196.htm
678,2000-09-06,CLOUDY,Signalized,07:45 - 08:45,4,3,314,15:30 - 16:30,3,6,377,BLENHEIM ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0815830.htm
679,2003-09-26,CLEAR,Signalized,07:35 - 08:35,1,0,772,16:25 - 17:25,0,0,533,SE MARINE DRIVE AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0828305.htm
680,2002-11-21,CLOUDY,Signalized,07:40 - 08:40,0,0,1025,16:25 - 17:25,0,0,861,SE MARINE DRIVE AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0828305.htm
681,1999-07-13,SUNNY,Signalized,07:30 - 08:30,0,0,727,16:25 - 17:25,0,1,501,SE MARINE DRIVE AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0828305.htm
682,1995-07-07,CLEAR,Signalized,07:30 - 08:30,3,1,837,16:25 - 17:25,2,5,640,SE MARINE DRIVE AND MARINE WAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0828305.htm
683,2005-11-16,CLEAR,Non-Signalized,,,,,12:25 - 13:25,2,0,676,SW MARINE DRIVE AND W 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0830057.htm
684,1996-10-31,CLEAR,Non-Signalized,07:35 - 08:35,6,2,1144,16:00 - 17:00,17,0,1405,SW MARINE DRIVE AND W 49TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0830057.htm
685,2006-10-06,CLEAR,Signalized,07:40 - 08:40,4,22,725,16:00 - 17:00,2,73,1258,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0190689.htm
686,2004-06-10,RAIN,Signalized,10:25 - 11:25,5,37,879,12:30 - 13:30,6,68,884,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0190689.htm
687,2002-05-27,OVERCAST,Signalized,07:50 - 08:50,3,32,770,16:20 - 17:20,15,52,1354,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0190689.htm
688,2001-06-28,CLOUDY,Signalized,07:55 - 08:55,13,32,818,16:05 - 17:05,35,49,1430,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0190689.htm
689,1999-07-20,SUNNY,Signalized,07:55 - 08:55,5,21,664,16:25 - 17:25,28,67,1329,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0190689.htm
690,1997-07-18,CLEAR,Signalized,07:55 - 08:55,5,13,653,16:25 - 17:25,21,45,1295,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0190689.htm
691,1995-06-21,CLOUDY,Signalized,07:50 - 08:50,0,0,,16:25 - 17:25,18,47,1523,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0190689.htm
692,2011-11-01,CLEAR,Signalized,07:55 - 08:55,5,70,738,16:30 - 17:30,29,141,1196,MAIN ST AND E 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2011/0190690.htm
693,2001-05-18,cloudy,Signalized,07:45 - 08:45,0,0,,,,,,MAIN ST AND E 22ND AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0190703.htm
694,2007-05-17,CLEAR,Signalized,07:55 - 08:55,1,110,753,16:00 - 17:00,6,81,1221,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0190730.htm
695,2005-08-19,CLEAR,Signalized,07:55 - 08:55,2,37,435,16:10 - 17:10,7,42,1021,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0190730.htm
696,2003-05-21,CLOUDY,Signalized,07:55 - 08:55,8,110,706,16:05 - 17:05,10,54,1200,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0190730.htm
697,2001-05-18,cloudy,Signalized,07:55 - 08:55,17,138,865,16:20 - 17:20,26,80,1208,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0190730.htm
698,1999-07-07,RAIN,Signalized,07:55 - 08:55,3,15,526,16:25 - 17:25,1,13,1188,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0190730.htm
699,1997-07-11,CLOUDY,Signalized,07:55 - 08:55,7,50,677,16:15 - 17:15,22,41,1286,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0190730.htm
700,1995-05-23,CLEAR,Signalized,07:45 - 08:45,3,80,640,16:20 - 17:20,18,48,1293,MAIN ST AND E 33RD AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0190730.htm
701,2007-05-16,CLEAR,Signalized,07:55 - 08:55,2,113,964,16:20 - 17:20,1,89,1373,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0190750.htm
702,2004-06-03,CLEAR,Signalized,07:55 - 08:55,7,109,887,16:25 - 17:25,9,67,1315,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0190750.htm
703,2002-06-20,CLEAR,Signalized,07:55 - 08:55,13,83,938,16:25 - 17:25,9,113,1323,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0190750.htm
704,2000-05-24,CLEAR,Signalized,07:55 - 08:55,1,102,860,16:25 - 17:25,3,104,1307,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0190750.htm
705,1998-07-22,CLEAR,Signalized,07:45 - 08:45,5,78,780,16:25 - 17:25,19,99,1312,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0190750.htm
706,1996-06-12,CLEAR,Signalized,07:55 - 08:55,4,100,876,15:30 - 16:30,8,124,1219,MAIN ST AND E 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0190750.htm
707,2004-06-01,RAIN,Signalized,10:25 - 11:25,1,28,477,12:30 - 13:30,0,25,377,MAIN ST AND SE MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0190830.htm
708,2002-06-24,CLEAR,Signalized,07:40 - 08:40,8,38,648,16:25 - 17:25,3,50,663,MAIN ST AND SE MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0190830.htm
709,1999-07-06,SUNNY,Signalized,07:45 - 08:45,4,33,624,16:25 - 17:25,3,17,680,MAIN ST AND SE MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1999/0190830.htm
710,1997-07-25,CLEAR,Signalized,07:55 - 08:55,4,41,601,15:45 - 16:45,1,43,719,MAIN ST AND SE MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1997/0190830.htm
711,1995-06-29,CLEAR,Signalized,07:55 - 08:55,3,34,528,16:25 - 17:25,6,27,517,MAIN ST AND SE MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1995/0190830.htm
712,2003-07-03,CLEAR,Signalized,07:55 - 08:55,6,124,57,16:25 - 17:25,14,123,137,GORE AV AND E CORDOVA ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0192589.htm
713,2001-08-16,clear,Signalized,07:05 - 08:05,2,34,36,16:10 - 17:10,15,77,137,GORE AV AND E CORDOVA ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0192589.htm
714,2000-08-17,CLEAR,Signalized,07:55 - 08:55,1,66,57,16:25 - 17:25,10,116,138,GORE AV AND E CORDOVA ST,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0192589.htm
