Study date,Year,Project,OBJECTID,Intersection,File Name
2017-01-24,2017,Turning Movement Count,8886,BEATTY ST AND W GEORGIA ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & W GEORGIA ST - 2017-01-24
2017-04-12,2017,Turning Movement Count,8887,BEATTY ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & W PENDER ST - 2017-04-12
2017-08-31,2017,Turning Movement Count,8888,MAIN ST AND E 33RD AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 33RD AV - 2017-08-31
2017-03-02,2017,Turning Movement Count,8889,W 12TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 12TH AV - 2017-03-02
2017-03-02,2017,Turning Movement Count,8890,W 15TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 15TH AV - 2017-03-02
2017-03-02,2017,Turning Movement Count,8891,W 6TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 6TH AV - 2017-03-02
2017-03-08,2017,Turning Movement Count,8892,BIRCH ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W BROADWAY - 2017-03-08
2017-03-28,2017,Turning Movement Count,8893,E HASTINGS ST AND WALKWAY,ENG - TDM - TURNING MOVEMENT COUNT - KOOTENAY ST & E HASTINGS ST - 2017-03-28
2017-10-26,2017,Turning Movement Count,8894,E 3RD AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 3RD AV - 2017-10-26
2017-10-18,2017,Turning Movement Count,8896,BLENHEIM ST AND W 10TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BLENHEIM ST & W 10TH AV - 2017-10-18
2017-10-19,2017,Turning Movement Count,8897,BLENHEIM ST AND W 16TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BLENHEIM ST & W 16TH AV - 2017-10-19
2017-03-07,2017,Turning Movement Count,8898,PINE ST AND W 12TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 12TH AV - 2017-03-07
2017-03-02,2017,Turning Movement Count,8899,PINE ST AND W 16TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 16TH AV - 2017-03-02
2017-04-04,2017,Turning Movement Count,8900,PINE ST AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 4TH AV - 2017-04-04
2017-05-09,2017,Turning Movement Count,8901,Boundary Rd & E 1st Av,ENG - TDM - TURNING MOVEMENT COUNT - BOUNDARY RD & E 1ST AV - 2017-05-09
2017-08-31,2017,Turning Movement Count,8902,E 41ST AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 41ST AV - 2017-08-31
2017-03-07,2017,Turning Movement Count,8903,PINE ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W BROADWAY - 2017-03-07
2017-10-12,2017,Turning Movement Count,8904,PRINCE EDWARD ST AND E 8TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PRINCE EDWARD ST & E 8TH AV - 2017-10-12
2017-04-13,2017,Turning Movement Count,8905,BOUNDARY ROAD AND MOSCROP ST,ENG - TDM - TURNING MOVEMENT COUNT - BOUNDARY RD & HENNING DR - 2017-04-13
2017-10-31,2017,Turning Movement Count,8906,MAIN ST AND E 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 4TH AV - 2017-10-31
2017-08-16,2017,Turning Movement Count,8907,Kingsway & E 34th Av,ENG - TDM - TURNING MOVEMENT COUNT - KINGSWAY & E 34TH AV - 2017-08-16
2017-10-31,2017,Turning Movement Count,8908,MAIN ST AND E 5TH AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 5TH AV - 2017-10-31
2017-02-21,2017,Turning Movement Count,8909,DAVIE ST AND BROUGHTON ST,ENG - TDM - TURNING MOVEMENT COUNT - BROUGHTON ST & DAVIE ST - 2017-02-21
2017-01-11,2017,Turning Movement Count,8910,QUEBEC ST AND E 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 1ST AV - 2017-01-11
2017-05-23,2017,Turning Movement Count,8911,BRUNSWICK ST AND E 6TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BRUNSWICK ST & E 6TH AV - 2017-05-23
2017-05-23,2017,Turning Movement Count,8912,E 8TH AV AND BRUNSWICK ST,ENG - TDM - TURNING MOVEMENT COUNT - BRUNSWICK ST & E 8TH AV - 2017-05-23
2017-11-01,2017,Turning Movement Count,8913,E 6TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 6TH AV - 2017-11-01
2017-03-09,2017,Turning Movement Count,8914,MAIN ST AND E BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E BROADWAY - 2017-03-09
2017-04-11,2017,Turning Movement Count,8915,BURRARD ST AND WALKWAY,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & CANADA PL - 2017-04-11
2017-12-05,2017,Turning Movement Count,8916,QUEBEC ST AND E 3RD AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 3RD AV - 2017-12-05
2017-03-14,2017,Turning Movement Count,8917,CORNWALL AV AND BURRARD BRIDGE,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & CORNWALL AV - 2017-03-14
2017-10-24,2017,Turning Movement Count,8918,E 4TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 4TH AV - 2017-10-24
