Study date,Year,Project,OBJECTID,Intersection,File Name,Const_URL,FileType
2017-06-08,2017,Turning Movement Count,8872,W 37TH AV AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W 37TH AV - 2017-06-08,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8872/attachments/10045,xlsx
2017-08-30,2017,Turning Movement Count,8873,W 4TH AV AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W 4TH AV - 2017-08-30,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8873/attachments/10046,xlsx
2017-05-25,2017,Turning Movement Count,8874,W BROADWAY AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W BROADWAY - 2017-05-25,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8874/attachments/10047,xlsx
2017-06-29,2017,Turning Movement Count,8875,W BROADWAY AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W BROADWAY - 2017-06-29,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8875/attachments/10048,xlsx
2017-11-16,2017,Turning Movement Count,8876,W BROADWAY AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W BROADWAY - 2017-11-16,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8876/attachments/10049,xlsx
2017-06-08,2017,Turning Movement Count,8877,W KING EDWARD AV AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W KING EDWARD AV - 2017-06-08,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8877/attachments/10050,xlsx
2017-05-16,2017,Turning Movement Count,8879,E 16TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 16TH AV - 2017-05-16,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8879/attachments/10052,xlsx
2017-01-10,2017,Turning Movement Count,8881,ASH ST AND W 12TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ASH ST & W 12TH AVE - 2017-01-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8881/attachments/10054,xlsx
2017-03-21,2017,Turning Movement Count,8882,BALSAM ST AND CORNWALL AV,ENG - TDM - TURNING MOVEMENT COUNT - BALSAM ST & CORNWALL AV - 2017-03-21,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8882/attachments/10055,xlsx
2017-01-18,2017,Turning Movement Count,8883,BEATTY ST AND DUNSMUIR ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & DUNSMUIR ST - 2017-01-18,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8883/attachments/10056,xlsx
2017-08-31,2017,Turning Movement Count,8884,E 1ST AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 1ST AV - 2017-08-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8884/attachments/10057,xlsx
2017-01-10,2017,Turning Movement Count,8885,BEATTY ST AND ROBSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & ROBSON ST - 2017-01-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8885/attachments/10058,xlsx
2017-01-24,2017,Turning Movement Count,8886,BEATTY ST AND W GEORGIA ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & W GEORGIA ST - 2017-01-24,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8886/attachments/10059,xlsx
2017-04-12,2017,Turning Movement Count,8887,BEATTY ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - BEATTY ST & W PENDER ST - 2017-04-12,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8887/attachments/10060,xlsx
2017-08-31,2017,Turning Movement Count,8888,MAIN ST AND E 33RD AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 33RD AV - 2017-08-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8888/attachments/10061,xlsx
2017-03-02,2017,Turning Movement Count,8889,W 12TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 12TH AV - 2017-03-02,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8889/attachments/10062,xlsx
2017-03-02,2017,Turning Movement Count,8890,W 15TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 15TH AV - 2017-03-02,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8890/attachments/10063,xlsx
2017-03-02,2017,Turning Movement Count,8891,W 6TH AV AND BIRCH ST,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W 6TH AV - 2017-03-02,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8891/attachments/10064,xlsx
2017-03-08,2017,Turning Movement Count,8892,BIRCH ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - BIRCH ST & W BROADWAY - 2017-03-08,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8892/attachments/10065,xlsx
2017-03-28,2017,Turning Movement Count,8893,E HASTINGS ST AND WALKWAY,ENG - TDM - TURNING MOVEMENT COUNT - KOOTENAY ST & E HASTINGS ST - 2017-03-28,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8893/attachments/10066,xlsx
2017-10-26,2017,Turning Movement Count,8894,E 3RD AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 3RD AV - 2017-10-26,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8894/attachments/10067,xlsx
2017-10-18,2017,Turning Movement Count,8896,BLENHEIM ST AND W 10TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BLENHEIM ST & W 10TH AV - 2017-10-18,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8896/attachments/10069,xlsx
2017-10-19,2017,Turning Movement Count,8897,BLENHEIM ST AND W 16TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BLENHEIM ST & W 16TH AV - 2017-10-19,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8897/attachments/10070,xlsx
2017-03-07,2017,Turning Movement Count,8898,PINE ST AND W 12TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 12TH AV - 2017-03-07,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8898/attachments/10071,xlsx
2017-03-02,2017,Turning Movement Count,8899,PINE ST AND W 16TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 16TH AV - 2017-03-02,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8899/attachments/10072,xlsx
2017-04-04,2017,Turning Movement Count,8900,PINE ST AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W 4TH AV - 2017-04-04,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8900/attachments/10073,xlsx
2017-05-09,2017,Turning Movement Count,8901,Boundary Rd & E 1st Av,ENG - TDM - TURNING MOVEMENT COUNT - BOUNDARY RD & E 1ST AV - 2017-05-09,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8901/attachments/10074,xlsx
2017-08-31,2017,Turning Movement Count,8902,E 41ST AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 41ST AV - 2017-08-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8902/attachments/10075,xlsx
2017-03-07,2017,Turning Movement Count,8903,PINE ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - PINE ST & W BROADWAY - 2017-03-07,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8903/attachments/10076,xlsx
2017-10-12,2017,Turning Movement Count,8904,PRINCE EDWARD ST AND E 8TH AV,ENG - TDM - TURNING MOVEMENT COUNT - PRINCE EDWARD ST & E 8TH AV - 2017-10-12,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8904/attachments/10077,xlsx
2017-04-13,2017,Turning Movement Count,8905,BOUNDARY ROAD AND MOSCROP ST,ENG - TDM - TURNING MOVEMENT COUNT - BOUNDARY RD & HENNING DR - 2017-04-13,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8905/attachments/10078,xlsx
2017-10-31,2017,Turning Movement Count,8906,MAIN ST AND E 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 4TH AV - 2017-10-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8906/attachments/10079,xlsx
2017-08-16,2017,Turning Movement Count,8907,Kingsway & E 34th Av,ENG - TDM - TURNING MOVEMENT COUNT - KINGSWAY & E 34TH AV - 2017-08-16,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8907/attachments/10080,xlsx
2017-10-31,2017,Turning Movement Count,8908,MAIN ST AND E 5TH AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 5TH AV - 2017-10-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8908/attachments/10081,xlsx
2017-02-21,2017,Turning Movement Count,8909,DAVIE ST AND BROUGHTON ST,ENG - TDM - TURNING MOVEMENT COUNT - BROUGHTON ST & DAVIE ST - 2017-02-21,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8909/attachments/10082,xlsx
2017-01-11,2017,Turning Movement Count,8910,QUEBEC ST AND E 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 1ST AV - 2017-01-11,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8910/attachments/10083,xlsx
2017-05-23,2017,Turning Movement Count,8911,BRUNSWICK ST AND E 6TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BRUNSWICK ST & E 6TH AV - 2017-05-23,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8911/attachments/10084,xlsx
2017-05-23,2017,Turning Movement Count,8912,E 8TH AV AND BRUNSWICK ST,ENG - TDM - TURNING MOVEMENT COUNT - BRUNSWICK ST & E 8TH AV - 2017-05-23,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8912/attachments/10085,xlsx
2017-11-01,2017,Turning Movement Count,8913,E 6TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 6TH AV - 2017-11-01,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8913/attachments/10086,xlsx
2017-03-09,2017,Turning Movement Count,8914,MAIN ST AND E BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E BROADWAY - 2017-03-09,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8914/attachments/10087,xlsx
2017-04-11,2017,Turning Movement Count,8915,BURRARD ST AND WALKWAY,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & CANADA PL - 2017-04-11,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8915/attachments/10088,xlsx
2017-12-05,2017,Turning Movement Count,8916,QUEBEC ST AND E 3RD AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 3RD AV - 2017-12-05,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8916/attachments/10089,xlsx
2017-03-14,2017,Turning Movement Count,8917,CORNWALL AV AND BURRARD BRIDGE,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & CORNWALL AV - 2017-03-14,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8917/attachments/10090,xlsx
2017-10-24,2017,Turning Movement Count,8918,E 4TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 4TH AV - 2017-10-24,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8918/attachments/10091,xlsx
2017-12-06,2017,Turning Movement Count,8919,E 5TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 5TH AV - 2017-12-06,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8919/attachments/10092,xlsx
2017-08-15,2017,Turning Movement Count,8920,JOYCE ST AND VANNESS AV,ENG - TDM - TURNING MOVEMENT COUNT - JOYCE ST & VANNESS AV - 2017-08-15,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8920/attachments/10093,xlsx
2017-03-28,2017,Turning Movement Count,8921,E 7TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 7TH AV - 2017-03-28,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8921/attachments/10094,xlsx
2017-05-18,2017,Turning Movement Count,8922,E BROADWAY AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E BROADWAY - 2017-05-18,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8922/attachments/10095,xlsx
2017-11-28,2017,Turning Movement Count,8923,BURRARD ST AND PACIFIC ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & PACIFIC ST - 2017-11-28,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8923/attachments/10096,xlsx
